Metrica,Grupo_1,Grupo_2,Z_Statistic,P_Value_Dunn_Bonferroni,Significativo_005,KW_Significativo
Densidad,TaiChi,Yoga,2.101947149236112,0.1066737170997627,✗,✓
Densidad,TaiChi,Sleep,0.5720775535473553,1.0,✗,✓
Densidad,Yoga,Sleep,2.2883102141894214,0.06635838632538582,✗,✓
Grado_Promedio,TaiChi,Yoga,2.101947149236112,0.1066737170997627,✗,✓
Grado_Promedio,TaiChi,Sleep,0.5720775535473553,1.0,✗,✓
Grado_Promedio,Yoga,Sleep,2.2883102141894214,0.06635838632538582,✗,✓
Clustering_Promedio,TaiChi,Yoga,1.6348477827391983,0.306242883397454,✗,✗
Clustering_Promedio,TaiChi,Sleep,0.6674238124719146,1.0,✗,✗
Clustering_Promedio,Yoga,Sleep,0.6674238124719146,1.0,✗,✗
Longitud_Camino_Promedio,TaiChi,Yoga,0.9341987329938276,1.0,✗,✗
Longitud_Camino_Promedio,TaiChi,Sleep,0.8581163303210331,1.0,✗,✗
Longitud_Camino_Promedio,Yoga,Sleep,0.09534625892455924,1.0,✗,✗
Asortatividad,TaiChi,Yoga,1.7516226243634268,0.23951615893755762,✗,✗
Asortatividad,TaiChi,Sleep,0.4767312946227962,1.0,✗,✗
Asortatividad,Yoga,Sleep,0.9534625892455924,1.0,✗,✗
Transitividad,TaiChi,Yoga,1.8683974659876552,0.18512007008493825,✗,✓
Transitividad,TaiChi,Sleep,1.1441551070947107,0.7576779515555043,✗,✓
Transitividad,Yoga,Sleep,2.6696952498876585,0.0227760355419262,✓,✓
Betweenness_Promedio,TaiChi,Yoga,0.9341987329938276,1.0,✗,✗
Betweenness_Promedio,TaiChi,Sleep,0.8581163303210331,1.0,✗,✗
Betweenness_Promedio,Yoga,Sleep,0.09534625892455924,1.0,✗,✗
Closeness_Promedio,TaiChi,Yoga,0.9341987329938276,1.0,✗,✗
Closeness_Promedio,TaiChi,Sleep,0.8581163303210331,1.0,✗,✗
Closeness_Promedio,Yoga,Sleep,0.09534625892455924,1.0,✗,✗
