,,Med_Densidad,Med_Grado_Promedio,Med_Clustering_Promedio,Med_Longitud_Camino_Promedio,Ctrl_Densidad,Ctrl_Densidad,Ctrl_Grado_Promedio,Ctrl_Grado_Promedio,Ctrl_Clustering_Promedio,Ctrl_Clustering_Promedio,Diff_Densidad,Diff_Densidad,Diff_Densidad,Diff_Densidad,Diff_Grado_Promedio,Diff_Grado_Promedio,Diff_Grado_Promedio,Diff_Grado_Promedio,Diff_Clustering_Promedio,Diff_Clustering_Promedio,Diff_Clustering_Promedio,Diff_Clustering_Promedio
,,first,first,first,first,mean,std,mean,std,mean,std,mean,std,min,max,mean,std,min,max,mean,std,min,max
Meditador,Grupo_Meditador,,,,,,,,,,,,,,,,,,,,,,
taichi1,TaiChi,0.0149,9.6831,0.7011,4.7368,0.0097,0.0006,6.3242,0.3845,0.7396,0.014,0.0052,0.0006,0.0045,0.0063,3.3588,0.3845,2.9108,4.1169,-0.0385,0.014,-0.0604,-0.0162
taichi2,TaiChi,0.0148,9.6123,0.7269,4.2154,0.0097,0.0006,6.3242,0.3845,0.7396,0.014,0.0051,0.0006,0.0044,0.0062,3.2881,0.3845,2.84,4.0462,-0.0127,0.014,-0.0346,0.0096
taichi3,TaiChi,0.0098,6.3662,0.7551,4.6968,0.0097,0.0006,6.3242,0.3845,0.7396,0.014,0.0001,0.0006,-0.0006,0.0012,0.0419,0.3845,-0.4062,0.8,0.0155,0.014,-0.0065,0.0378
taichi4,TaiChi,0.0155,10.0554,0.715,4.4773,0.0097,0.0006,6.3242,0.3845,0.7396,0.014,0.0057,0.0006,0.0051,0.0069,3.7312,0.3845,3.2831,4.4892,-0.0247,0.014,-0.0466,-0.0023
yoga1,Yoga,0.0208,13.4985,0.7086,3.9897,0.0097,0.0006,6.3242,0.3845,0.7396,0.014,0.0111,0.0006,0.0104,0.0122,7.1742,0.3845,6.7262,7.9323,-0.031,0.014,-0.0529,-0.0087
yoga2,Yoga,0.0211,13.6923,0.7689,4.243,0.0097,0.0006,6.3242,0.3845,0.7396,0.014,0.0114,0.0006,0.0107,0.0125,7.3681,0.3845,6.92,8.1262,0.0293,0.014,0.0073,0.0516
yoga3,Yoga,0.0157,10.2185,0.776,4.8794,0.0097,0.0006,6.3242,0.3845,0.7396,0.014,0.006,0.0006,0.0053,0.0072,3.8942,0.3845,3.4462,4.6523,0.0364,0.014,0.0144,0.0587
yoga4,Yoga,0.019,12.3231,0.7811,4.126,0.0097,0.0006,6.3242,0.3845,0.7396,0.014,0.0092,0.0006,0.0086,0.0104,5.9988,0.3845,5.5508,6.7569,0.0415,0.014,0.0196,0.0638
