Medida,Comparación,p_valor,Significativo,Mediana_Sleep,Mediana_TaiChi,Rank_biserial_r,Mediana_Yoga
Sample Entropy,Sleep vs TaiChi,0.11877528971007115,False,1.7035604121399741,1.0574185662101607,-1.0,
Sample Entropy,Sleep vs Yoga,0.0018109325944002989,True,1.7035604121399741,,-1.0,0.7808281034971061
Sample Entropy,TaiChi vs Yoga,0.7042909884830078,False,,1.0574185662101607,-1.0,0.7808281034971061
Sample Entropy (Norm),Sleep vs TaiChi,0.11877528971007115,False,1.7035604121399741,1.0574185662101607,-1.0,
Sample Entropy (Norm),Sleep vs Yoga,0.0018109325944002989,True,1.7035604121399741,,-1.0,0.7808281034971061
Sample Entropy (Norm),TaiChi vs Yoga,0.7042909884830078,False,,1.0574185662101607,-1.0,0.7808281034971061
Permutation Entropy,Sleep vs TaiChi,0.7410630047151474,False,2.462662485633876,2.2585222812736596,-0.5,
Permutation Entropy,Sleep vs Yoga,0.015966833651615372,True,2.462662485633876,,-0.9375,2.13328743145301
Permutation Entropy,TaiChi vs Yoga,0.47476900631208985,False,,2.2585222812736596,-0.75,2.13328743145301
Permutation Entropy (Norm),Sleep vs TaiChi,0.7410630047151474,False,1.231331242816938,1.1292611406368298,-0.5,
Permutation Entropy (Norm),Sleep vs Yoga,0.015966833651615372,True,1.231331242816938,,-0.9375,1.066643715726505
Permutation Entropy (Norm),TaiChi vs Yoga,0.47476900631208985,False,,1.1292611406368298,-0.75,1.066643715726505
