Grupo,Archivo,N_latidos,SampEn,SampEn_norm,PermEn,PermEn_norm
Sleep,sleep1,864,1.7258100842063469,1.7258100842063469,2.4669431361488634,1.2334715680744317
Sleep,sleep2,906,1.8448300126749613,1.8448300126749613,2.458381835118889,1.2291909175594444
Sleep,sleep3,841,1.9055203569454964,1.9055203569454964,2.5136663724354897,1.2568331862177449
Sleep,sleep4,963,1.7705938748497672,1.7705938748497672,2.453525904606308,1.226762952303154
Sleep,sleep5,661,1.601030576598127,1.601030576598127,2.4820558019874137,1.2410279009937069
Sleep,sleep6,830,1.660916973087839,1.660916973087839,2.5390953034544994,1.2695476517272497
Sleep,sleep7,1266,1.5850200712509133,1.5850200712509133,2.209730404397017,1.1048652021985086
Sleep,sleep8,899,1.6813107400736014,1.6813107400736014,2.4478372862768905,1.2239186431384452
TaiChi,taichi1,4034,1.0545023748083304,1.0545023748083304,2.2215016430953525,1.1107508215476762
TaiChi,taichi2,3599,1.0603347576119908,1.0603347576119908,2.295542919451967,1.1477714597259836
TaiChi,taichi3,3767,1.4561713201675262,1.4561713201675262,2.4788216495948907,1.2394108247974454
TaiChi,taichi4,3150,0.9888702403136889,0.9888702403136889,2.2146563595251765,1.1073281797625882
Yoga,yoga1,1022,0.7953932551527234,0.7953932551527234,2.2464115012340367,1.1232057506170183
Yoga,yoga2,1127,0.7980548123100536,0.7980548123100536,2.1358205660979763,1.0679102830489882
Yoga,yoga3,910,0.7662629518414886,0.7662629518414886,2.022244315705843,1.0111221578529215
Yoga,yoga4,933,0.6717083106344697,0.6717083106344697,2.1307542968080435,1.0653771484040218
