Grupo,Archivo,N_latidos,Media,Mediana,Std,CV(%),Min,Max,Rango,IQR,Asimetría,Curtosis
Sleep,sleep1,864,1039.586226851852,1037.5,50.45304961439876,4.853185653217456,805.0,1417.5,612.5,60.0,0.6235475136335613,4.305149447139047
Sleep,sleep2,906,992.1550772626931,995.0,42.14955452466354,4.248282903611408,865.0,1120.0,255.0,60.0,-0.077661355384725,-0.2957323711784441
Sleep,sleep3,841,1068.5850178359096,1065.0,42.95687037616388,4.019976853424335,950.0,1220.0,270.0,55.0,0.44452213938585633,0.5106258645105095
Sleep,sleep4,963,934.021287642783,932.5,41.760751267438856,4.471070608340383,835.0,1097.5,262.5,62.5,0.21554009125920834,-0.18379956560107713
Sleep,sleep5,661,1359.4402420574886,1370.0,69.49181091690045,5.111795926515007,1127.5,1522.5,395.0,105.0,-0.43319957939445275,-0.29852318415527845
Sleep,sleep6,830,1082.3885542168675,1097.5,95.69613959849315,8.841200253427612,805.0,1307.5,502.5,122.5,-0.629723626300299,-0.028473202689633048
Sleep,sleep7,1266,710.2705371248026,707.5,23.818048618555157,3.3533769702698586,662.5,800.0,137.5,37.5,0.4680825950250876,-0.2553870791763919
Sleep,sleep8,899,999.8081201334817,1002.5,33.59318139409978,3.3599628486328803,910.0,1085.0,175.0,47.5,-0.0466647622734068,-0.5823945731825613
TaiChi,taichi1,4034,824.6760039662865,828.0,94.74557891606757,11.48882451537184,602.0,1039.0,437.0,164.0,-0.06815188907881521,-1.0954815175252564
TaiChi,taichi2,3599,738.7743817727146,734.0,53.23581409869308,7.205963743755152,609.0,969.0,360.0,70.0,0.24333279822883458,-0.05103581307860461
TaiChi,taichi3,3767,810.4199628351473,820.0,78.94814140142415,9.741633353309128,578.0,1078.0,500.0,109.0,-0.21006355830265708,-0.08938546913801826
TaiChi,taichi4,3150,826.859365079365,836.0,89.04811379824643,10.769438862157564,641.0,1070.0,429.0,141.0,0.011991060543043715,-0.7686389951977386
Yoga,yoga1,1022,613.8845401174168,609.0,63.640151326001224,10.366794921049626,492.0,852.0,360.0,94.0,0.6049852680929407,0.010993496739619246
Yoga,yoga2,1127,608.9254658385094,594.0,72.02950777532295,11.828953101203622,492.0,969.0,477.0,71.0,1.5672828654028825,2.8490301405763896
Yoga,yoga3,910,747.6461538461539,727.0,89.3063505213871,11.945002333251356,594.0,1008.0,414.0,140.0,0.5471380765361334,-0.6789763094383439
Yoga,yoga4,933,697.2625937834941,648.0,127.91421237814241,18.345199286262133,516.0,1055.0,539.0,179.0,0.901816902691509,-0.3186473343620846
